01|17|38|43|45|47
12|16|30|52|53|58
09|34|42|45|46|59
20|22|36|38|41|43
10|15|16|19|28|35
25|31|33|39|43|45
11|28|37|45|54|60
16|17|20|22|38|50
04|21|25|33|36|46
03|09|18|23|50|52
02|20|21|33|48|57
16|29|33|39|42|44
04|14|17|43|52|56
10|13|33|35|36|42
16|18|23|30|32|33
06|09|15|22|39|48
11|40|43|45|47|57
04|10|13|23|27|57
03|25|35|38|44|48
06|27|33|39|40|60
29|35|43|54|56|57
12|15|18|21|51|56
09|10|15|28|43|45
02|07|09|18|21|25
11|12|26|30|37|53
08|11|27|28|43|46
20|23|35|36|44|48
12|34|45|53|55|58
09|22|25|47|52|58
03|06|14|15|21|25
02|03|05|10|15|34
21|31|35|53|54|57
16|17|19|28|45|58
06|17|22|30|37|50
01|03|19|23|47|58
05|11|22|24|51|53
16|23|25|28|30|44
01|10|17|18|45|48
11|23|34|41|46|56
03|07|15|40|45|54
07|14|18|23|32|59
01|04|23|32|38|59
16|27|28|47|59|60
09|10|19|35|37|41
03|10|30|44|53|56
05|16|19|37|51|56
05|10|20|57|58|59
12|16|26|40|56|57
13|16|23|24|32|35
07|18|39|41|44|51
01|45|47|52|53|55
10|28|37|43|44|47
05|25|28|41|53|54
11|13|25|39|46|56
03|11|17|33|52|58
18|20|30|32|33|40
11|23|24|26|40|52
01|05|23|25|28|31
03|10|17|21|22|43
14|17|36|38|44|60
01|05|31|32|37|42
04|05|14|37|40|60
16|23|45|56|58|59
02|08|35|42|49|56
02|04|09|35|45|60
10|30|36|40|44|60
01|13|14|21|26|51
22|28|30|33|55|59
13|23|25|35|52|53
02|09|14|22|32|37
06|10|15|24|38|39
25|30|31|34|43|59
01|02|34|39|41|45
13|17|29|45|49|50
08|18|21|22|35|37
23|24|32|38|40|41
03|05|11|27|35|44
09|40|41|50|55|58
01|06|45|49|50|57
06|24|26|30|34|49
03|09|13|29|30|51
03|04|37|39|48|50
08|26|28|33|41|54
16|18|22|24|34|43
03|06|13|38|49|51
15|17|33|41|47|48
07|22|28|32|56|58
05|08|24|30|57|59
41|44|48|50|54|57
08|15|18|45|59|60
08|28|36|47|50|58
02|17|22|24|48|51
02|03|07|16|27|42
14|34|46|47|56|57
15|27|28|32|48|55
03|07|29|37|54|60
07|13|24|30|32|53
06|11|32|40|48|59
26|33|42|43|53|54
17|19|32|43|48|51
10|11|21|50|51|54
05|06|12|19|30|60
04|09|21|34|54|59
01|22|26|43|50|53
19|22|31|36|52|53
03|19|23|27|40|45
17|18|26|30|33|37
02|06|10|15|53|56
01|04|26|39|47|55
05|10|12|22|28|46
08|11|25|39|41|60
09|11|27|46|51|53
09|11|13|15|19|51
20|23|32|34|37|45
05|17|32|35|37|57
01|10|25|43|50|56
09|12|23|24|46|54
02|14|20|25|41|45
01|15|16|22|25|43
11|20|35|42|55|58
17|22|27|31|49|57
20|21|28|48|50|59
04|08|29|38|49|50
02|06|13|14|17|44
06|19|34|43|45|54
06|11|16|19|31|56
01|03|04|39|51|53
02|09|23|28|45|53
02|13|14|35|54|57
22|23|34|48|53|54
30|42|47|50|55|58
01|05|34|37|40|60
13|14|22|54|56|58
02|16|17|18|41|47
12|18|46|50|53|55
11|13|26|27|28|50
06|25|43|57|58|59
03|13|42|45|56|59
01|05|13|25|26|29
02|06|08|21|25|34
05|11|27|41|42|54
04|15|26|30|54|55
04|06|16|18|21|38
06|18|34|47|52|57
01|08|22|49|52|53
06|20|22|31|33|34
12|25|30|39|56|57
04|10|38|40|45|48
04|19|38|44|52|55
10|11|14|19|39|48
02|18|31|42|51|56
01|12|20|30|52|60
15|30|39|41|45|59
12|19|27|39|41|45
02|20|27|28|32|38
11|26|27|30|34|41
32|37|44|47|54|60
05|07|11|34|35|50
16|26|35|39|44|45
22|23|41|46|53|60
01|06|28|37|56|58
06|07|29|39|41|55
09|12|15|21|31|36
26|32|42|45|55|59
09|10|36|50|53|55
10|24|25|36|47|48
02|14|21|22|51|60
06|11|16|23|36|42
13|25|28|37|43|56
06|13|14|28|35|45
02|05|08|18|30|48
20|27|30|31|40|53
08|15|29|35|45|54
09|36|37|53|55|60
15|22|23|42|51|57
15|17|20|31|41|48
03|13|14|29|33|43
02|10|13|41|49|53
06|33|34|48|53|59
06|18|37|40|41|58
09|13|18|47|52|60
09|12|14|29|42|56
04|10|29|31|34|35
11|19|21|23|27|52
15|18|20|32|48|49
10|15|25|38|47|53
09|10|17|32|34|46
12|28|37|46|48|53
05|08|42|50|51|59
12|13|24|29|32|41
06|16|33|34|45|46
12|17|25|29|41|52
03|05|09|14|41|46
25|34|38|45|53|60
05|18|27|43|49|59
01|10|17|24|42|51
07|14|23|43|44|53
03|08|28|39|42|59
04|06|19|20|40|41
03|10|42|49|54|57
16|18|26|30|31|34
27|33|37|39|58|60
14|27|30|46|52|60
09|23|39|41|49|58
04|12|19|33|36|38
18|23|31|39|49|57
01|22|31|34|44|54
04|30|31|32|47|53
02|09|16|37|44|58
02|25|36|41|42|53
